scope,continent,baseline_model,n_pairs,abs_error_improve_mean,abs_error_improve_ci_low_95,abs_error_improve_ci_high_95,abs_error_p_value_improve,direction_improve_mean,direction_improve_ci_low_95,direction_improve_ci_high_95,direction_p_value_improve,both_significant_5pct
continent,Africa,ridge_full,312,2.1753735912294547,1.1965706747093474,3.151407837352769,0.0,0.041666666666666664,-0.009615384615384616,0.09294871794871795,0.0595,0
continent,Africa,ridge_ar2,312,2.108471285447231,0.9833610829392441,3.2104138093615213,0.0,-0.00641025641025641,-0.07051282051282051,0.05448717948717949,0.612,0
continent,Africa,naive_last,312,1.9075064765302165,0.6985109225516339,3.09734164293703,0.002,0.5641025641025641,0.5,0.6217948717948718,0.0,1
continent,Asia,naive_last,444,2.54433812918269,1.6529480313665552,3.463169835976178,0.0,0.5788288288288288,0.5247747747747747,0.6306306306306306,0.0,1
continent,Asia,ridge_full,444,2.9444295196466364,2.0845695798130897,3.7429868435443803,0.0,0.060810810810810814,0.015765765765765764,0.1036036036036036,0.005,1
continent,Asia,ridge_ar2,444,2.561910822505841,1.7008071973880654,3.43580869523405,0.0,0.02927927927927928,-0.02027027027027027,0.07657657657657657,0.1415,0
continent,Europe,ridge_full,402,2.887467444585627,1.9859473479575152,3.8025468076097484,0.0,0.0024875621890547263,-0.04228855721393035,0.0472636815920398,0.475,0
continent,Europe,ridge_ar2,402,1.4153608522859307,0.5207662430543911,2.2979590720076506,0.001,-0.0472636815920398,-0.0945273631840796,-0.0024875621890547263,0.9805,0
continent,Europe,naive_last,402,1.0479317879842278,0.08985426845592154,1.9825518667770667,0.0165,0.5522388059701493,0.49502487562189057,0.6069651741293532,0.0,1
continent,North America,naive_last,264,1.9431324120775209,0.8200009223307021,3.1459810529970054,0.0,0.5795454545454546,0.5113636363636364,0.6439393939393939,0.0,1
continent,North America,ridge_full,264,1.7630525823307166,0.7653717352455848,2.702231083744798,0.0,0.011363636363636364,-0.04924242424242424,0.07196969696969698,0.3835,0
continent,North America,ridge_ar2,264,1.4104324376972681,0.38162964785558356,2.4452921121556193,0.0035,-0.011363636363636364,-0.07196969696969698,0.04924242424242424,0.671,0
continent,Oceania,ridge_full,114,2.7592135651407452,1.2504277472206722,4.282572912158507,0.0,0.017543859649122806,-0.06140350877192982,0.09649122807017543,0.388,0
continent,Oceania,naive_last,114,3.593610884999529,1.3164449330178132,5.847966220763736,0.0015,0.631578947368421,0.5350877192982456,0.7280701754385965,0.0,1
continent,Oceania,ridge_ar2,114,0.7411206480053111,-1.0191251720080006,2.5200774667647483,0.2065,0.008771929824561403,-0.07894736842105263,0.09649122807017543,0.444,0
continent,South America,naive_last,234,3.0363076016792996,1.917477526285179,4.268622766895477,0.0,0.6196581196581197,0.5470085470085471,0.688034188034188,0.0,1
continent,South America,ridge_full,234,2.7863388867219356,1.743255633152516,3.8557234865080856,0.0,0.0811965811965812,0.017094017094017096,0.1452991452991453,0.007,1
continent,South America,ridge_ar2,234,0.959520825644525,-0.16769755678690365,2.0772349650578024,0.048,0.0,-0.06837606837606838,0.06837606837606838,0.522,0
global,Global,naive_last,1770,2.1351702289692485,1.6925998064978367,2.596485269252197,0.0,0.5790960451977402,0.5519632768361582,0.6050847457627119,0.0,1
global,Global,ridge_full,1770,2.5868953150081384,2.1882252213199624,3.00319311914594,0.0,0.03672316384180791,0.013545197740112995,0.05875706214689266,0.0005,1
global,Global,ridge_ar2,1770,1.7207210731619076,1.297696251274592,2.141489927798525,0.0,-0.005649717514124294,-0.030522598870056497,0.01864406779661017,0.6935,0
