group,shock_year,event_time,high_mean_rel_outcome,low_mean_rel_outcome,effect_high_minus_low,n_high,n_low,policy_type
__all__,2020,-1,0.0,0.0,0.0,89,129,institutional
__all__,2020,0,-0.10490625054602176,-0.3291571203214321,0.2242508697754103,89,129,institutional
__all__,2020,1,-0.059412542676996756,-0.31195122670912423,0.2525386840321275,89,129,institutional
__all__,2020,2,-0.09881709357246544,-0.27403861702694204,0.1752215234544766,89,129,institutional
__all__,2021,-2,0.10490625054602176,0.3291571203214321,-0.2242508697754103,89,129,institutional
__all__,2021,-1,0.0,0.0,0.0,89,129,institutional
__all__,2021,0,0.04549370786902501,0.017205893612307805,0.028287814256717208,89,129,institutional
__all__,2021,1,0.006089156973556315,0.05511850329449009,-0.049029346320933774,89,129,institutional
__all__,2021,2,-0.10118020650321573,0.03611220491389307,-0.1372924114171088,89,129,institutional
__all__,2022,-2,-0.04549370786902501,-0.017205893612307805,-0.028287814256717208,89,129,institutional
__all__,2022,-1,0.0,0.0,0.0,89,129,institutional
__all__,2022,0,-0.039404550895468696,0.03791260968218228,-0.07731716057765098,89,129,institutional
__all__,2022,1,-0.14667391437224073,0.018906311301585262,-0.165580225673826,89,129,institutional
__all__,2022,2,-0.1979824882150206,0.09271971785822132,-0.29070220607324193,89,129,institutional
__all__,2020,-2,-0.04182472672661978,-0.1381788054889573,0.09635407876233754,89,129,urban
__all__,2020,-1,0.0,0.0,0.0,89,129,urban
__all__,2020,0,-0.10490625054602176,-0.3291571203214321,0.2242508697754103,89,129,urban
__all__,2020,1,-0.059412542676996756,-0.31195122670912423,0.2525386840321275,89,129,urban
__all__,2020,2,-0.09881709357246544,-0.27403861702694204,0.1752215234544766,89,129,urban
__all__,2022,-2,-0.04549370786902501,-0.017205893612307805,-0.028287814256717208,89,129,urban
__all__,2022,-1,0.0,0.0,0.0,89,129,urban
__all__,2022,0,-0.039404550895468696,0.03791260968218228,-0.07731716057765098,89,129,urban
__all__,2022,1,-0.14667391437224073,0.018906311301585262,-0.165580225673826,89,129,urban
__all__,2022,2,-0.1979824882150206,0.09271971785822132,-0.29070220607324193,89,129,urban
__all__,2023,-2,0.039404550895468696,-0.03791260968218228,0.07731716057765098,89,129,urban
__all__,2023,-1,0.0,0.0,0.0,89,129,urban
__all__,2023,0,-0.10726936347677204,-0.01900629838059702,-0.08826306509617503,89,129,urban
__all__,2023,1,-0.15857793731955191,0.05480710817603904,-0.21338504549559095,89,129,urban
__all__,2023,2,0.044451053269847725,0.301718454198982,-0.2572674009291343,89,129,urban
